name,frequency
Arthur,315.0
Noah,309.0
Lucas,303.0
Liam,294.0
Leon,279.0
Jules,277.0
Finn,265.0
Louis,242.0
Victor,239.0
Lewis,227.0
Adam,214.0
Lars,212.0
Vic,212.0
Vince,208.0
Matteo,202.0
Mathis,190.0
Mohamed,179.0
Emiel,170.0
Jack,168.0
Elias,163.0
Alexander,157.0
Gust,157.0
Oscar,153.0
Stan,151.0
Maurice,148.0
Lou,146.0
Lowie,145.0
Marcel,142.0
Milan,142.0
Mats,139.0
Felix,137.0
Wout,137.0
Kobe,135.0
Nathan,132.0
Tuur,131.0
Warre,131.0
Viktor,125.0
Seppe,123.0
Lukas,119.0
Rayan,117.0
Léon,111.0
Cas,110.0
Eden,109.0
Ferre,109.0
David,107.0
Daan,106.0
Amir,104.0
Otis,102.0
Thomas,101.0
Miel,100.0
Luca,99.0
Bas,96.0
Mauro,92.0
Oliver,92.0
Emile,91.0
Georges,91.0
Jayden,87.0
Sem,85.0
Cyriel,83.0
Lenn,83.0
Maxim,83.0
Mil,83.0
Henri,81.0
Siebe,81.0
Jef,80.0
Mohammed,79.0
Lex,78.0
Sam,78.0
Juul,76.0
Senne,76.0
Loïc,75.0
Alex,74.0
Remi,73.0
Levi,72.0
Max,72.0
Kamiel,70.0
Ali,69.0
Milo,69.0
Youssef,69.0
Gabriel,68.0
Hamza,68.0
Nand,66.0
Simon,66.0
Vik,66.0
Imran,65.0
Gaston,64.0
Leander,64.0
Aaron,63.0
Andreas,63.0
Lio,63.0
Nolan,63.0
Ilyas,62.0
Jasper,62.0
Oskar,62.0
Omar,61.0
Maxime,60.0
Ayden,59.0
Dries,59.0
Ibrahim,59.0
Kasper,59.0
Owen,58.0
Julian,57.0
Mathias,57.0
Samuel,57.0
Fons,56.0
Lander,56.0
Theo,56.0
Thor,56.0
Yusuf,56.0
James,55.0
Morris,55.0
Rik,55.0
Tibo,55.0
Jesse,54.0
Aiden,53.0
Daniel,53.0
Vinz,53.0
Wolf,53.0
Charlie,52.0
Jonas,52.0
Robbe,52.0
Ruben,51.0
Aster,50.0
Floris,50.0
Nicolas,50.0
Ryan,50.0
Younes,50.0
Charles,49.0
Julien,49.0
Quinn,49.0
Yanis,49.0
Leo,48.0
Matz,48.0
Raphaël,48.0
Rune,48.0
Benjamin,47.0
César,47.0
Emir,47.0
George,47.0
Rémi,47.0
Sep,47.0
Sepp,47.0
Senn,46.0
William,46.0
Anas,45.0
Ayoub,44.0
Robin,44.0
Mateo,43.0
Nassim,43.0
Haroun,42.0
Olivier,42.0
Tristan,42.0
Zayd,42.0
Boris,41.0
Lias,41.0
Axel,40.0
Briek,40.0
Isaac,40.0
Jason,40.0
Mason,40.0
